stock_company,stock_item,code,market,recommended_date,recommended_price,prev_close,devidend_rate,reference
신한투자증권,씨앤씨인터내셔널,-352480,KOSDAQ 종합,2023.2.10,"30,800","45,350",47.24%,중소형주
유안타,롯데정보통신,-286940,KOSPI 종합,2023.2.6,"26,750","28,250",5.61%,중소형주
KB,롯데정보통신,-286940,KOSPI 종합,2023.2.2,"25,850","28,250",9.28%,중소형주
유안타,KH바텍,-60720,KOSDAQ 종합,2023.1.30,"14,730","20,800",41.21%,중소형주
KB,NAVER,-35420,KOSPI 종합,2023.1.25,"196,000","199,500",1.79%,대형주
한국투자,NAVER,-35420,KOSPI 종합,2023.1.16,"195,000","199,500",2.31%,추천종목
KB,삼성전자,-5930,KOSPI 종합,2023.1.10,"60,700","71,400",17.63%,대형주
KB,SK하이닉스,-660,KOSPI 종합,2023.1.10,"86,000","108,600",26.28%,대형주
삼성,LG전자,-66570,KOSPI 종합,2023.1.2,"86,500","122,800",41.97%,추천종목
유안타,POSCO홀딩스,-5490,KOSPI 종합,2022.12.21,"281,000","360,000",28.11%,대형주
유안타,삼성엔지니어링,-28050,KOSPI 종합,2022.10.25,"23,550","28,300",20.17%,대형주
KB,현대모비스,-12330,KOSPI 종합,2022.9.26,"206,500","223,000",7.99%,대형주
유안타,삼성전자,-5930,KOSPI 종합,2022.9.22,"55,300","71,400",29.11%,대형주
KB,삼성SDI,-6400,KOSPI 종합,2022.5.9,"617,000","718,000",16.37%,대형주
